0,1,2
CustomerID, ItemID, AmountSpent
51,1505,40.34
42,3378,45.77
2,6926,56.05
79,4424,0.82
50,9291,85.49
20,3901,91.75
15,6633,9.99
44,6148,52.91
5,8331,87.17
48,8602,30.65
47,5368,53.92
31,3391,19.87
4,6694,17.76
36,680,10.4
57,8900,68.68
12,3959,51.12
22,1733,60.37
54,9900,36.87
0,3505,9.68
88,5539,66.76
86,9900,23.63
13,7570,6.48
88,7577,48.23
42,8274,80.6
40,963,18.59
48,4396,29.05
98,7161,19.82
2,7765,26.25
51,3479,71.24
91,1272,64.16
14,9254,18.28
55,4507,69.51
95,1335,71.99
61,6601,28.63
98,3083,71.52
54,6869,62.76
27,30,51.49
78,8212,51.88
83,2187,53.14
6,8363,39.22
26,5388,84.57
75,9904,51.04
25,6984,73.5
71,1696,23.42
39,5352,18.23
47,5658,53.53
60,8517,23.42
4,1085,47.44
50,8384,33.14
86,7808,90.22
97,4990,25.94
7,3585,35.96
21,6268,61.15
75,8232,54.77
69,7744,27.06
40,4653,53.13
37,9604,79.84
1,7236,74.86
64,1506,64.92
82,638,82.78
72,6433,87.23
36,9541,11.4
78,2001,91.92
99,553,23.58
13,9743,39.41
53,7762,39.54
44,8187,28.62
35,6725,92.23
2,3066,50.72
47,5409,11.76
29,3822,11.01
91,7712,58.84
70,1686,37.47
85,4290,65.19
53,1298,74.45
14,4338,15.7
51,4363,35.18
42,4298,64.25
2,8558,80.53
79,2826,56.94
50,8640,1.88
20,6572,33.84
15,8818,23.4
44,4358,3.52
5,8900,46.11
48,4025,53.49
47,6986,13.62
31,827,22.81
4,4491,45.38
36,6866,49.7
57,7938,91.68
12,4967,31.85
22,8540,68.65
54,6626,76.88
0,1922,54.39
88,5853,51.38
86,3182,10.8
13,4499,41.77
88,784,88.82
42,8350,10.78
40,62,66.88
48,5640,42.23
98,9105,45.56
2,1666,78.67
51,7083,83.23
91,6524,60.01
14,2461,89.53
55,12,80.24
95,1522,27.8
61,160,19.94
98,424,44.47
54,6207,39.3
27,3598,74.37
78,6446,2.01
83,4082,89.15
6,2308,22.41
26,5831,24.83
75,795,28.9
25,8200,59.8
71,5672,47.48
39,3811,51.27
47,2324,92.08
60,7298,62.31
4,6328,22.82
50,1051,47.71
86,4657,20.43
97,1919,33.83
7,8983,31.61
21,8220,25.51
75,1140,47.8
69,5129,10.46
40,6442,33.77
37,6217,47.04
1,4760,50.12
64,1496,79.67
82,987,45.35
72,1415,16.18
36,7497,32.85
78,9727,64.47
99,5998,32.77
13,5062,57.41
53,8742,93.19
34,558,80.64
73,2066,21.52
49,8818,41.88
8,606,21.99
51,4954,53.46
46,7185,65.03
23,1304,0.11
72,5544,27.85
19,9648,25.74
40,3698,78.34
49,2870,96.36
83,3471,37.19
70,9150,65.89
49,4126,40.64
65,3530,14.98
46,6721,13.08
80,5982,24.59
16,5033,68.68
26,1183,28.53
29,6885,83.55
9,3691,4.32
86,8915,19.8
6,5984,57.77
31,7180,55.77
22,2134,33.17
4,8643,23.57
18,1062,6.49
59,9477,65.53
65,9330,99.19
18,4873,64.18
71,7623,32.42
74,6566,25.66
34,8888,4.16
30,3715,24.13
16,5161,88.64
53,4014,57.91
85,1670,72.62
60,1593,56.06
86,2069,28.01
23,8021,97.22
91,1087,80.7
86,3429,71.9
79,200,26.47
56,8532,29.76
57,941,22.98
90,4257,72.95
90,7493,27.06
36,794,86.56
85,2686,20.31
55,4326,84.57
44,3008,64.42
68,4462,77.77
11,8324,40.78
95,8175,60.54
65,9639,3.92
86,5780,30.71
73,9301,30.76
57,9053,1.17
49,2522,16.96
10,1756,56.68
16,2265,42.3
46,547,24.07
41,2915,61
14,2682,59.98
15,6736,93.3
58,4202,60.62
65,1383,2.86
37,2830,41.99
75,8871,24.66
21,5170,12.99
87,9869,34.38
50,5231,9.35
47,8292,40.34
47,3163,45.77
64,3769,56.05
17,4019,0.82
60,1168,85.49
10,4685,91.75
2,1512,9.99
98,2106,52.91
7,6066,87.17
33,6303,30.65
62,2017,53.92
15,4791,19.87
46,8973,17.76
22,5684,10.4
42,728,68.68
92,8630,51.12
41,3431,60.37
18,7256,36.87
37,3776,9.68
10,4218,66.76
76,7704,23.63
35,3796,6.48
64,4957,48.23
6,8234,80.6
73,4136,18.59
99,2276,29.05
25,3782,19.82
64,4639,26.25
73,6781,71.24
58,4057,64.16
99,9278,18.28
0,397,69.51
82,4567,71.99
66,5461,28.63
43,2319,71.52
23,2371,62.76
22,1509,51.49
80,6817,51.88
92,400,53.14
34,8480,39.22
56,6523,84.57
30,4627,51.04
53,2896,73.5
2,5583,23.42
69,6603,18.23
78,2384,53.53
29,8846,23.42
62,3650,47.44
52,1738,33.14
80,9772,90.22
99,6527,25.94
74,5774,35.96
70,7969,61.15
46,2806,54.77
2,693,27.06
77,4512,53.13
42,4909,79.84
44,7200,74.86
26,9309,64.92
99,3521,82.78
81,2647,87.23
95,4376,11.4
84,8868,91.92
30,2547,23.58
8,9663,39.41
25,9159,39.54
68,9572,28.62
58,3958,92.23
57,2718,50.72
18,8295,11.76
39,5988,11.01
66,3479,58.84
2,3799,37.47
23,3769,65.19
10,4396,74.45
4,1990,15.7
39,9165,35.18
81,3698,64.25
39,2886,80.53
72,3585,56.94
26,9056,1.88
71,1572,33.84
3,2857,23.4
70,9287,3.52
18,72,46.11
64,6037,53.49
76,5414,13.62
7,5533,22.81
49,1978,45.38
23,7256,49.7
82,3419,91.68
93,5787,31.85
0,9165,68.65
97,7957,76.88
59,511,54.39
62,3191,51.38
41,887,10.8
82,5389,41.77
27,6952,88.82
16,9049,10.78
41,8327,66.88
83,2451,42.23
77,4970,45.56
86,950,78.67
7,4815,83.23
77,6147,60.01
89,1961,89.53
17,7395,80.24
95,5369,27.8
74,4991,19.94
6,8901,44.47
97,5426,39.3
84,3974,74.37
18,7969,2.01
62,9393,89.15
90,1050,22.41
66,1141,24.83
58,7199,28.9
16,1842,59.8
45,9708,47.48
16,5981,51.27
74,7431,92.08
95,8059,62.31
74,3663,22.82
87,8983,47.71
7,1164,20.43
69,1996,33.83
16,3761,31.61
69,7691,25.51
21,3073,47.8
90,5095,10.46
5,8294,33.77
47,3279,47.04
35,6390,50.12
40,9111,79.67
82,8164,45.35
11,9046,16.18
43,9178,32.85
22,3109,64.47
39,1826,32.77
74,4234,57.41
54,1872,93.19
6,30,80.64
68,480,21.52
57,1618,41.88
95,4091,21.99
6,1726,53.46
70,7105,65.03
58,6228,0.11
20,3773,27.85
34,3228,25.74
52,9987,78.34
93,6351,96.36
57,9594,18.17
1,6328,42.49
10,9017,91.58
34,437,0.1
41,996,36.35
8,4402,17.37
41,7715,57.12
77,8556,14.04
25,5789,60.04
14,9119,40.73
53,9086,49.19
1,3385,74.6
47,7435,37.55
23,3796,43.34
58,8203,78.27
57,188,27.65
23,1545,17.83
68,893,58.74
68,3844,68.7
24,1040,55.54
96,8445,43.94
78,3083,25.57
82,4008,27.99
15,4934,6.81
87,3851,18.29
67,5886,62.41
52,269,47.82
12,1827,99.6
58,2972,89.07
56,8285,65.21
37,4451,73.99
53,4917,99.61
5,6367,98.95
1,6970,8.86
54,7174,3.39
15,242,3.23
15,4236,82.82
52,8572,56.61
72,7719,98.41
63,2048,19.82
19,8665,38.98
46,8872,31.37
75,7790,29.38
79,1814,32.38
5,7495,10.38
72,6874,76.53
51,6329,59.21
85,8489,58.2
90,2264,96.19
39,2709,7.27
92,2298,4.46
93,1666,8.85
61,2582,47.18
63,3216,68.05
8,1159,62.92
86,9177,62.65
70,8076,41.84
3,4779,86
53,9161,87.38
30,1700,63.67
58,9149,78.29
19,8076,6.48
91,1626,39.99
37,7058,43.74
10,8621,35.02
97,7727,59.51
34,3842,97.09
39,897,32.1
51,984,54.38
12,9603,55.71
42,3334,93.68
40,3227,84.54
2,8589,84.35
68,654,90.89
6,9006,38.39
4,1111,71.62
14,9076,35.93
34,98,88.8
53,5017,48.15
11,2974,94.63
19,2626,97.57
1,5038,76.73
51,3275,19.14
90,6933,52.05
24,902,89.49
54,460,61.03
56,5908,83.37
51,2471,92.47
69,2806,94.42
96,7798,55.33
56,8077,14.91
60,7366,29.75
8,6332,50.52
31,8315,39.15
41,4546,94.82
55,9334,65.84
65,8190,82.27
21,6849,79.78
59,7355,29.05
66,3538,62.92
79,9835,37.97
18,4395,35.81
18,7461,71.92
30,1515,48.94
61,1837,67.47
4,2662,84.79
34,8920,54.35
18,6886,56.62
66,1050,69.06
90,876,22.04
53,3565,32.26
9,6513,76.65
37,4461,71.56
73,1960,84.55
50,82,34.92
25,7456,77.56
59,4168,11.39
83,4096,21.57
76,3235,86.65
99,7879,41.94
19,1605,75.24
82,5471,88.09
75,8935,81.52
6,5740,62.89
12,100,78.38
97,1101,54.39
99,7008,2.74
8,9033,69.87
70,5538,65.62
99,5904,30.96
14,3069,33.73
71,2831,26.84
94,2478,72.12
13,9470,58.06
80,4715,85.51
37,421,41.02
19,3473,46.89
68,8876,40.98
73,9874,89.34
3,3765,87.33
60,5332,0.27
73,1188,37.59
99,5176,8.27
85,8802,47.5
0,9218,18.91
31,4270,42.74
16,3856,0.19
94,3188,91.76
24,2735,40.49
3,3680,18.57
73,2106,65.64
14,51,92.69
95,234,32.16
21,9795,99.36
27,6890,43.73
27,6338,19.28
25,1105,66.59
44,2445,87.21
29,165,1
62,5242,82.05
75,2277,84.7
46,2124,61.76
31,5896,91.3
2,6796,7.56
22,3282,24.25
44,2495,4.11
74,5289,96
16,9051,76.85
8,7135,38.87
7,1944,46.66
81,5769,96.8
43,2865,30.04
32,9935,59.73
88,7373,22.89
77,5532,24.68
66,2600,76.46
80,3101,91.63
31,310,54.51
80,9670,2.35
71,7176,39
64,7722,83.97
30,8395,39
46,2701,81.41
3,4385,40.51
72,6786,45.78
71,3555,50.84
65,815,53.04
79,5818,12.28
40,9208,29.59
85,3841,65.28
3,2138,60.57
38,3543,53.42
91,4093,26.74
93,3317,61.11
15,5112,50.22
44,1610,22.63
61,1398,51.82
0,1596,98.66
6,2656,79.56
25,1419,61.61
36,4692,7.08
54,6027,94.62
16,4845,46.58
33,2980,18.5
77,9006,53.91
54,8330,59.72
66,8311,80.91
13,7387,30.43
10,9398,50.22
88,1579,41.41
37,787,99.65
94,224,6.73
90,760,19.01
22,9136,42.04
93,2513,30.95
23,3743,84.96
25,9009,36.24
55,8944,63.87
93,1732,51.66
90,82,77.44
7,1756,93.19
15,34,79.98
2,454,14.83
94,8543,68.83
37,284,89.86
10,95,72.63
2,2580,30.73
14,9748,85.26
52,7772,94.12
29,4796,57.77
69,7367,94.28
86,6832,33.09
75,5030,87.78
88,6122,19.72
70,4015,72.14
73,2232,58.5
77,4417,34.81
83,7872,84.64
60,8233,98.85
96,8991,74.83
98,3491,29.91
81,7308,78.53
59,529,34.08
0,276,90.53
73,7130,66.54
28,9963,70.91
8,4076,99.35
49,6719,41.56
72,2883,6.18
93,3687,26.54
65,1255,1.71
96,4052,50.02
96,8108,66.6
38,3362,90.81
57,8513,96.89
40,5284,0.7
67,1716,24.53
66,1907,66.6
26,1258,44.63
61,8478,48.88
17,5644,25.08
17,6842,90.3
15,9341,73.45
34,1676,61.5
64,4270,53.3
83,4328,20.48
99,3205,95.35
19,5125,39.86
50,4337,43.57
20,6790,96.64
42,4415,36.44
96,8913,57.71
20,3354,21.21
4,9390,3.39
99,6460,21.98
38,2955,11.73
40,3730,6.03
25,9962,38.19
26,1606,24.27
96,7735,28.94
30,2675,80.98
72,6264,32.73
84,5900,80.96
21,1057,17.84
0,6822,59.19
39,3049,28.15
77,2203,29.19
49,3012,54.95
11,5833,66.05
13,6226,30.82
3,6426,72.86
22,9159,37.03
71,1870,33.21
45,3107,22.79
44,5893,42.04
30,8894,97.06
33,2738,88.23
45,476,18.48
89,185,41.08
52,8371,2.31
15,5354,45.54
44,6753,59.38
26,3426,79.34
81,294,54.93
5,3377,23.88
55,8745,20.02
74,2411,72.15
20,4056,71.91
37,9816,19.93
35,7498,18.5
73,63,5.9
42,4529,24.82
12,1032,54.41
18,5813,29.72
50,7684,62.97
6,3844,74.87
89,8830,30.59
79,9059,7.69
60,5768,78.99
42,5709,73.94
46,9244,55.82
94,3889,27.38
81,3530,89.41
91,2932,85.55
41,3496,93.09
73,4046,35.4
54,3987,8.19
34,5415,74.82
53,4695,80.7
48,5562,1.64
14,8032,65.51
18,548,98.87
43,7215,90.91
81,993,44.72
42,594,64.27
15,8953,68.21
76,5083,32.27
99,5108,43.61
28,3600,38.41
33,5768,83.47
67,7860,60.75
83,6112,59.44
83,183,5.74
73,9874,35.49
54,3103,85.23
21,6067,45.23
88,6289,87.49
75,1334,43.11
66,6161,20.41
58,965,79.16
93,7798,92.71
10,2389,46.31
62,5553,34.6
37,1521,62.79
84,7755,68.73
56,9368,52.93
53,7312,50.28
46,2015,86.9
85,6309,18.32
75,642,70.42
42,5863,88.86
61,3729,19.43
85,4129,36.72
16,4323,92.89
91,5215,35.83
41,7173,44.7
1,7631,55.71
41,3876,25.06
55,8875,0.46
84,8874,1.11
36,9332,8.95
25,4639,32.33
88,6474,13.51
91,6158,38.16
36,2780,63.48
93,7466,54.33
51,3544,20.59
11,161,13.43
40,8217,55.32
43,7950,23.78
37,1301,49.69
57,5316,93.51
88,5421,80.1
49,6583,96.63
72,8111,28.6
66,69,29.2
1,5037,79.5
25,6372,49.45
63,1678,61.1
12,411,41.6
17,3511,77.16
67,3511,76.63
24,3896,57.13
72,6539,49.88
43,4534,41.22
1,105,81.75
76,3866,11.03
11,1644,63.05
64,8910,80.36
93,207,50.9
12,6564,38.46
57,4285,5.5
26,3302,43.72
