(0,5721.84)
(1,5957.02)
(2,5222.53)
(3,4679.77)
(4,4625.41)
(5,4999.46)
(6,5434.78)
(7,4366.25)
(8,5716.51)
(9,4601.60)
(10,5286.04)
(11,5587.73)
(12,4643.88)
(13,4314.95)
(14,5036.01)
(15,5210.58)
(16,5236.58)
(17,4758.11)
(18,4890.71)
(19,5273.75)
(20,4918.09)
(21,4686.00)
(22,4556.87)
(23,4011.04)
(24,5480.84)
(25,5052.97)
(26,5732.14)
(27,4993.30)
(28,5323.69)
(29,5153.09)
(30,5445.42)
(31,5455.89)
(32,5444.33)
(33,5525.37)
(34,5351.11)
(35,5840.95)
(36,4094.04)
(37,5446.75)
(38,5038.08)
(39,5990.14)
(40,6310.09)
(41,5219.78)
(42,5630.03)
(43,5033.15)
(44,4700.39)
(45,3443.58)
(46,5294.50)
(47,4113.33)
(48,4455.87)
(49,4699.33)
(50,4898.42)
(51,5165.17)
(52,5303.00)
(53,4677.51)
(54,6808.63)
(55,5413.06)
(56,4986.35)
(57,4173.21)
(58,5319.22)
(59,5345.92)
(60,4725.26)
(61,5245.99)
(62,4909.95)
(63,5617.60)
(64,5675.66)
(65,5547.78)
(66,4643.10)
(67,4849.25)
(68,5904.09)
(69,5194.50)
(70,5115.31)
(71,6059.25)
(72,5148.31)
(73,5847.33)
(74,4430.40)
(75,4678.44)
(76,5032.87)
(77,3835.91)
(78,4676.21)
(79,3632.55)
(80,4177.56)
(81,5617.79)
(82,4911.43)
(83,4968.77)
(84,5026.13)
(85,5047.77)
(86,5246.68)
(87,4986.06)
(88,5594.81)
(89,4913.12)
(90,4991.77)
(91,4849.14)
(92,4860.81)
(93,6041.71)
(94,4893.39)
(95,4793.06)
(96,4797.20)
(97,6332.36)
(98,4452.20)
(99,4326.56)
